DK,EN1,EN2,FR1,FR2,FR3,FR4,FR7,GE,GE1,GR,IR,IT1,IT2,NL,SB,SP2,SP4,SP5,SP6,TK1,TK2,TK3
0.43313483,0.382459291,0.391873656,0.431154567,0.457819091,0.462297654,0.420732554,0.445323955,0.42554845,0.488204554,0.46417268,0.405816021,0.410517015,0.405465083,0.429751429,0.373403152,0.422478081,0.433936755,0.453378435,0.436648008,0.611662875,0.566540256,0.553916977
0.382459291,0.324115019,0.352859727,0.377035442,0.413052372,0.412411218,0.375537094,0.395720917,0.384507106,0.434894998,0.40716721,0.350023943,0.390952292,0.357863404,0.408169817,0.299521653,0.373452053,0.374804432,0.398084976,0.387397988,0.566756678,0.505999764,0.50145576
0.391873656,0.352859727,0.366778703,0.388365737,0.418637883,0.422093804,0.387149003,0.409513671,0.394679018,0.452887758,0.39882054,0.375604278,0.38538437,0.360704192,0.415119378,0.323226989,0.390029275,0.396276657,0.418287682,0.406265403,0.6036357,0.555048421,0.541250086
0.431154567,0.377035442,0.388365737,0.360593331,0.439727628,0.409669178,0.395224548,0.406893419,0.410599011,0.477199527,0.488531676,0.365222969,0.411496184,0.381126016,0.432248539,0.346668953,0.383050036,0.388442455,0.417208485,0.417713704,0.59470707,0.555950979,0.565507029
0.457819091,0.413052372,0.418637883,0.439727628,0.494291101,0.469527213,0.44904996,0.462029492,0.45135821,0.502270851,0.472475789,0.430466383,0.448538754,0.42080853,0.47461358,0.378495203,0.439923489,0.446564099,0.47181594,0.458188896,0.624201572,0.572788553,0.570429718
0.462297654,0.412411218,0.422093804,0.409669178,0.469527213,0.450971169,0.429611259,0.435962654,0.440859983,0.490547651,0.490882828,0.408706197,0.440023294,0.413685915,0.466089701,0.371382541,0.421639571,0.42568615,0.460698961,0.446408914,0.60671849,0.558466316,0.564768113
0.420732554,0.375537094,0.387149003,0.395224548,0.44904996,0.429611259,0.390427206,0.40408862,0.410528384,0.474158951,0.448024694,0.372675262,0.413963373,0.392668522,0.43085145,0.335462624,0.40168436,0.399017383,0.426303598,0.412382894,0.6054974,0.551893124,0.543532516
0.445323955,0.395720917,0.409513671,0.406893419,0.462029492,0.435962654,0.40408862,0.418491477,0.422648919,0.485685012,0.473376284,0.392884618,0.426971286,0.402439362,0.448257225,0.351397865,0.417712792,0.414989707,0.447058977,0.429281815,0.617696587,0.563123581,0.55074035
0.42554845,0.384507106,0.394679018,0.410599011,0.45135821,0.440859983,0.410528384,0.422648919,0.421692127,0.476967361,0.445130336,0.395558758,0.417978031,0.393243772,0.436598324,0.345400846,0.412268802,0.417295469,0.441719333,0.424398753,0.595633425,0.543246756,0.536978303
0.488204554,0.434894998,0.452887758,0.477199527,0.502270851,0.490547651,0.474158951,0.485685012,0.476967361,0.524345203,0.492476454,0.460273316,0.480233675,0.455835439,0.501807781,0.381934587,0.467876609,0.468834692,0.504994672,0.482384014,0.589966861,0.525751241,0.542877307
0.46417268,0.40716721,0.39882054,0.488531676,0.472475789,0.490882828,0.448024694,0.473376284,0.445130336,0.492476454,0.587786628,0.452090921,0.484769287,0.4222722,0.500530188,0.347645515,0.474000179,0.464888499,0.482426119,0.456758374,0.681718442,0.620309817,0.569768123
0.405816021,0.350023943,0.375604278,0.365222969,0.430466383,0.408706197,0.372675262,0.392884618,0.395558758,0.460273316,0.452090921,0.354303932,0.399807359,0.375115513,0.416241898,0.32089054,0.377207158,0.376487316,0.404872665,0.39591087,0.575540085,0.525250113,0.524612678
0.410517015,0.390952292,0.38538437,0.411496184,0.448538754,0.440023294,0.413963373,0.426971286,0.417978031,0.480233675,0.484769287,0.399807359,0.389406009,0.386961218,0.424842267,0.363306598,0.408835002,0.42108009,0.45572204,0.431838183,0.596333688,0.550039998,0.545557503
0.405465083,0.357863404,0.360704192,0.381126016,0.42080853,0.413685915,0.392668522,0.402439362,0.393243772,0.455835439,0.4222722,0.375115513,0.386961218,0.383486177,0.419948547,0.321766069,0.384601626,0.393401391,0.418637883,0.405020737,0.597488713,0.543961151,0.538707908
0.429751429,0.408169817,0.415119378,0.432248539,0.47461358,0.466089701,0.43085145,0.448257225,0.436598324,0.501807781,0.500530188,0.416241898,0.424842267,0.419948547,0.457916125,0.383303512,0.432343968,0.442492123,0.466089701,0.447717836,0.607037682,0.561316544,0.556723327
0.373403152,0.299521653,0.323226989,0.346668953,0.378495203,0.371382541,0.335462624,0.351397865,0.345400846,0.381934587,0.347645515,0.32089054,0.363306598,0.321766069,0.383303512,0.258140377,0.343907193,0.334423034,0.371140342,0.345849377,0.492028726,0.404513155,0.416346582
0.422478081,0.373452053,0.390029275,0.383050036,0.439923489,0.421639571,0.40168436,0.417712792,0.412268802,0.467876609,0.474000179,0.377207158,0.408835002,0.384601626,0.432343968,0.343907193,0.402096942,0.397932707,0.427355356,0.416119934,0.581089388,0.530582635,0.54044051
0.433936755,0.374804432,0.396276657,0.388442455,0.446564099,0.42568615,0.399017383,0.414989707,0.417295469,0.468834692,0.464888499,0.376487316,0.42108009,0.393401391,0.442492123,0.334423034,0.397932707,0.403543852,0.430213251,0.418212655,0.578072689,0.525173039,0.530045637
0.453378435,0.398084976,0.418287682,0.417208485,0.47181594,0.460698961,0.426303598,0.447058977,0.441719333,0.504994672,0.482426119,0.404872665,0.45572204,0.418637883,0.466089701,0.371140342,0.427355356,0.430213251,0.45004694,0.44405192,0.609162905,0.574015225,0.578736793
0.436648008,0.387397988,0.406265403,0.417713704,0.458188896,0.446408914,0.412382894,0.429281815,0.424398753,0.482384014,0.456758374,0.39591087,0.431838183,0.405020737,0.447717836,0.345849377,0.416119934,0.418212655,0.44405192,0.435854159,0.594568191,0.53557376,0.535539247
0.611662875,0.566756678,0.6036357,0.59470707,0.624201572,0.60671849,0.6054974,0.617696587,0.595633425,0.589966861,0.681718442,0.575540085,0.596333688,0.597488713,0.607037682,0.492028726,0.581089388,0.578072689,0.609162905,0.594568191,0.571661188,0.503699067,0.5529764
0.566540256,0.505999764,0.555048421,0.555950979,0.572788553,0.558466316,0.551893124,0.563123581,0.543246756,0.525751241,0.620309817,0.525250113,0.550039998,0.543961151,0.561316544,0.404513155,0.530582635,0.525173039,0.574015225,0.53557376,0.503699067,0.43707042,0.47380881
0.553916977,0.50145576,0.541250086,0.565507029,0.570429718,0.564768113,0.543532516,0.55074035,0.536978303,0.542877307,0.569768123,0.524612678,0.545557503,0.538707908,0.556723327,0.416346582,0.54044051,0.530045637,0.578736793,0.535539247,0.5529764,0.47380881,0.520006617
